"","lon","lat"
"322",-77.0368707,38.9071923
"323",-77.0909809,38.8816208
"324",-95.712891,37.09024
"325",-106.346771,56.130366
"326",-76.1390412,43.0402889
"328",-75.1652215,39.9525839
"329",-79.3831843,43.653226
"331",-76.3452218,37.0298687
"333",-72.589811,42.1014831
"335",-98.4842465,39.011902
"339",-111.0937311,39.3209801
"350",-99.9018131,31.9685988
"352",-99.9018131,41.4925374
"353",-96.7969879,32.7766642
"354",-95.712891,37.09024
"356",-72.5594036,42.8522077
"357",-89.0947545,41.3326284
"359",-80.085059,42.1292241
"360",-94.6858998,46.729553
"363",-86.954437,33.4017766
"365",-111.651302,35.1982836
"367",-71.0588801,42.3600825
"368",-76.1804843,42.6011813
"369",-81.5148368,36.8348383
"370",-86.2999689,32.3668052
"371",-89.3985283,40.6331249
"372",18.416037,-33.925122
"373",-83.2218731,42.4733688
"375",-118.1937395,33.7700504
"376",86.1624587,23.2790634
"377",-95.712891,37.09024
"378",-122.3320708,47.6062095
"379",-74.0059728,40.7127753
"380",-84.3879824,33.7489954
"381",-80.3053416,41.6033874
"384",-77.0368707,38.9071923
"386",-97.5164276,35.4675602
"387",-93.6091064,41.6005448
"393",-74.511172,40.3025907
"398",-92.2779324,35.5942441
"399",-97.7430608,30.267153
"400",-82.907123,40.4172871
"403",-95.712891,37.09024
"405",-74.0059728,40.7127753
"408",-87.5217068,41.4942021
"410",-85.323214,51.253775
"411",-85.3096801,35.0456297
"412",-78.4766781,38.0293059
"414",-95.971261,36.153315
"415",-105.7820674,39.5500507
"418",-95.712891,37.09024
"419",-75.4690966,40.0989851
"423",-2.0727839,53.7190281
"424",-74.0059728,40.7127753
"428",-74.0059728,40.7127753
"429",-74.0059728,40.7127753
"430",-82.5514869,35.5950581
"431",-76.8610462,39.2037144
"433",-83.8888647,43.5944677
"434",-75.1652215,39.9525839
"437",-87.6297982,41.8781136
"438",-80.8431267,35.2270869
"439",-105.0866504,39.9205411
"441",-83.0457538,42.331427
"442",-77.0368707,38.9071923
"444",-95.712891,37.09024
"446",-73.567256,45.5016889
"447",-79.9310512,32.7764749
"450",-106.346771,56.130366
"451",-77.1527578,39.0839973
"453",-111.0937311,39.3209801
"455",-72.5778415,44.5588028
"456",-77.0368707,38.9071923
"457",-83.0457538,42.331427
"458",-81.655651,30.3321838
"460",-82.5306527,27.3364347
"461",-73.9441579,40.6781784
"462",-90.0715323,29.9510658
"463",-81.5157535,27.6648274
"467",-71.0588801,42.3600825
"470",-97.3307658,32.7554883
"472",-74.009213,40.7119193
"473",-90.0715323,29.9510658
"474",-71.0588801,42.3600825
"475",133.775136,-25.274398
"477",-73.567256,45.5016889
"480",-89.4012302,43.0730517
"482",-91.6656232,41.9778795
"484",-80.8431267,35.2270869
"486",-82.1587351,36.0156735
"488",-81.8704481,36.0711174
"490",-95.712891,37.09024
"492",-68.5169669,63.746693
"494",-84.8499504,39.090891
"495",-77.0368707,38.9071923
"496",-90.4056468,32.8551326
"498",-85.6680863,42.9633599
"505",-79.9958864,40.4406248
"510",-77.4605399,38.3031837
"512",-99.9018131,31.9685988
"514",-112.84184,49.69349
"520",-74.0059728,40.7127753
"522",-73.9441579,40.6781784
"524",-90.122935,38.614517
"525",-117.1610838,32.715738
"526",-74.0059728,40.7127753
"530",-106.346771,56.130366
"531",-81.3792365,28.5383355
"532",-75.1652215,39.9525839
"535",-106.346771,56.130366
"536",-105.8700901,34.5199402
"537",-70.8736698,43.1978624
"539",-85.6023643,44.3148443
"540",-95.712891,37.09024
"541",-77.0368707,38.9071923
"543",-77.1710914,38.882334
"544",-82.9000751,32.1656221
"545",-77.0287949,38.8983313
"546",-84.5120196,39.1031182
"547",-87.6297982,41.8781136
"548",-83.0457538,42.331427
"549",-119.4179324,36.778261
"552",-74.4518188,40.4862157
"553",-81.5157535,27.6648274
"555",-74.6049061,40.5939636
"557",-77.1527578,39.0839973
"558",-82.6483442,43.016179
"560",-122.1810006,47.3649207
"562",-112.7387586,32.268672
"566",-119.4179324,36.778261
"568",-74.0059728,40.7127753
"570",-95.712891,37.09024
"572",-83.985,42.43472
"578",-84.5120196,39.1031182
"579",-81.5157535,27.6648274
"584",-95.712891,37.09024
"588",-97.7430608,30.267153
