"","lon","lat"
"1",-73.9712488,40.7830603
"2",-78.4766781,38.0293059
"3",-86.3376761,34.3652297
"4",-87.8001226,35.8827712
"5",-79.3831843,43.653226
"6",-82.2363299,34.1323269
"7",-94.5785667,39.0997265
"8",-75.977985,36.8529263
"9",-82.907123,40.4172871
"10",-82.9987942,39.9611755
"11",-73.087749,41.6032207
"12",-92.2895948,34.7464809
"13",-111.0429339,45.6769979
"14",-105.7820674,39.5500507
"15",-86.5804473,35.5174913
"16",-88.8706291,40.39698
"18",-81.6064866,30.6319034
"19",-85.8396879,33.6987134
"20",-107.9553721,44.0169014
"21",-81.3852595,30.2400058
"23",-116.419389,38.8026097
"24",-79.3831843,43.653226
"25",-95.712891,37.09024
"26",-74.2445902,40.6220478
"27",-80.038953,32.742179
"28",-119.4179324,36.778261
"30",-83.5451934,38.7945166
"31",-123.2475166,47.1618129
"32",-74.0059728,40.7127753
"33",-99.9018131,41.4925374
"38",-93.6091064,41.6005448
"39",-119.4179324,36.778261
"41",-86.422578,42.07663
"42",-68.2570183,44.4321561
"43",-79.0192997,35.7595731
"44",-93.2922989,37.2089572
"45",-87.6297982,41.8781136
"46",-106.6055534,35.0853336
"47",-84.3948172,33.8092396
"48",-97.756039,30.3397703
"49",-74.0059728,40.7127753
"52",-74.4056612,40.0583238
"53",-80.2213477,40.5169767
"54",-75.387693,39.9167783
"55",-86.5804473,35.5174913
"56",-97.4721067,35.2188537
"57",-71.3824374,42.4072107
"58",4.469936,50.503887
"59",-87.9064736,43.0389025
"60",-75.6971931,45.4215296
"61",-93.7130493,41.6709834
"62",-118.4109089,33.8847361
"63",-107.2411313,41.7999435
"64",-111.880771,40.8893895
"65",-76.6412712,39.0457549
"66",-76.4954491,38.9785971
"67",-83.357567,33.9519347
"69",-120.7401385,47.7510741
"70",-73.963284,40.577634
"71",-119.9403548,38.9346948
"72",-78.898619,35.9940329
"73",-77.4416505,37.3568157
"74",-88.938636,30.459235
"75",-106.346771,56.130366
"77",-81.5157535,27.6648274
"79",-81.0998342,32.0835407
"81",-86.2519898,41.6763545
"82",-79.0192997,35.7595731
"83",-122.6764815,45.5230622
"84",-77.3008393,38.8483768
"85",-86.2999689,32.3668052
"87",-91.9623327,30.9842977
"88",-79.3831843,43.653226
"89",-80.1917902,25.7616798
"91",-75.1652215,39.9525839
"92",-94.68748,38.9250212
"94",-118.2436849,34.0522342
"95",-77.4360481,37.5407246
"96",-87.6297982,41.8781136
"97",-77.6994197,18.0788461
"98",-91.8318334,35.20105
"99",-119.4179324,36.778261
"100",-73.9234619,40.7643574
"102",-74.0059728,40.7127753
"103",-76.6019125,39.4014955
"106",-84.7675139,43.5978075
"107",-72.749538,42.1250929
"108",-74.0314165,40.2005472
"109",-87.6297982,41.8781136
"110",-99.9018131,31.9685988
"111",-95.712891,37.09024
"112",-73.8648268,40.8447819
"113",-84.3879824,33.7489954
"114",-80.1917902,25.7616798
"115",-87.5900134,37.8361538
"116",-73.087749,41.6032207
"117",-105.7820674,39.5500507
"118",8.468946,60.472024
"120",-84.5037164,38.0405837
"121",-93.2777226,44.7677424
"122",-74.3118212,39.9652553
"123",-72.589811,42.1014831
"124",77.5945627,12.9715987
"125",-74.3152408,40.5360104
"126",-98.5127218,29.4465839
"127",-95.712891,37.09024
"128",-61.222503,10.691803
"129",-89.3985283,40.6331249
"130",-87.6297982,41.8781136
"131",-74.0059728,40.7127753
"132",-96.8622524,37.81724
"133",-122.4442906,47.2528768
"135",-111.6946475,40.2968979
"136",-79.3831843,43.653226
"137",-73.8914407,42.8000049
"138",-82.1823746,41.452819
"140",-89.3985283,32.3546679
"141",-81.6943605,41.49932
"142",-74.511172,40.3025907
"143",-74.0059728,40.7127753
"145",-85.6023643,44.3148443
"146",-85.8649408,37.7030646
"147",-95.712891,37.09024
"148",-85.8649408,37.7030646
"149",-99.9018131,31.9685988
"150",-95.712891,37.09024
"151",-74.4056612,40.0583238
"153",-81.3792365,28.5383355
"154",-88.7878678,43.7844397
"155",-82.907123,40.4172871
"156",-106.7533362,32.2834278
"157",127.5178041,37.2894247
"158",-82.5369872,28.4831682
"159",-87.5710898,37.9715592
"160",-71.1631137,42.7070354
"161",-81.7229086,41.4047742
"162",-71.0588801,42.3600825
"163",-79.3370188,43.8561002
"164",-95.712891,37.09024
"166",-84.3879824,33.7489954
"167",-91.9623327,30.9842977
"168",-95.712891,37.09024
"169",-66.1057355,18.4655394
