"","lon","lat"
"1",-86.045479,39.478646
"2",-95.712891,37.09024
"3",-100.5239867,21.293404
"4",-84.3879824,33.7489954
"7",-91.5301683,41.6611277
"9",6.7766583,50.8993757
"11",-80.1917902,25.7616798
"12",-73.9712488,40.7830603
"13",-73.9441579,40.6781784
"14",144.9630576,-37.8136276
"15",-89.661469,35.2961973
"16",-79.3831843,43.653226
"17",-105.8700901,34.5199402
"18",-74.0059728,40.7127753
"19",-82.907123,40.4172871
"20",-88.4153847,44.2619309
"21",25.48583,42.733883
"22",-79.3831843,43.653226
"23",-73.9512129,40.8260696
"24",-104.990251,39.7392358
"25",-78.050174,36.07557
"26",-111.8338359,41.7369803
"27",-99.9018131,31.9685988
"28",-86.902298,32.3182314
"29",-79.3831843,43.653226
"30",-86.5804473,35.5174913
"32",-91.8318334,37.9642529
"33",-74.0059728,40.7127753
"34",12.9035965,41.4675671
"36",-116.0986334,44.9078369
"37",-74.0059728,40.7127753
"38",26.8144598,-27.9255066
"40",-86.902298,32.3182314
"42",-106.346771,56.130366
"43",-96.6851982,40.8257625
"44",-73.064036,41.2306979
"45",-99.9018131,31.9685988
"46",-87.9064736,43.0389025
"47",-117.1610838,32.715738
"48",-81.9320482,34.9495672
"49",-95.712891,37.09024
"50",-85.323214,51.253775
"51",-73.9753676,40.7870106
"52",-86.4957833,30.3935337
"53",-95.712891,37.09024
"54",-86.158068,39.768403
"55",-89.8739753,35.2045328
"56",8.468946,60.472024
"57",74.3587473,31.5203696
"59",-95.712891,37.09024
"62",-80.1448023,40.7866883
"63",-90.0489801,35.1495343
"64",-99.9018131,41.4925374
"65",-79.0192997,35.7595731
"66",-84.5209081,37.9873516
"67",-106.346771,56.130366
"69",-19.020835,64.963051
"70",-77.7199932,39.6417629
"71",-88.4470508,43.7730448
"72",-99.9018131,31.9685988
"74",-86.5804473,35.5174913
"75",-105.7820674,39.5500507
"76",-83.9294564,35.9544013
"79",-89.8739753,35.2045328
"80",-80.2213477,40.5169767
"81",-76.6412712,39.0457549
"82",-97.5164276,35.4675602
"83",-104.990251,39.7392358
"84",-75.9179738,42.0986867
"86",-99.9018131,31.9685988
"87",-89.2447232,38.2302951
"88",-87.5772293,33.229007
"89",-79.3831843,43.653226
"90",-95.712891,37.09024
"92",-71.1550451,41.7014912
"93",-87.6297982,41.8781136
"94",-88.9946702,40.5122833
"97",-97.330053,37.6871761
"98",-83.0457538,42.331427
"99",-77.0368707,38.9071923
"100",-90.406785,38.5833862
"101",-87.9301134,42.9308255
"102",-61.8175207,17.0746557
"103",-81.5322149,41.5233346
"104",19.145136,51.919438
"106",-99.9018131,31.9685988
"107",-84.5120196,39.1031182
"108",-91.9623327,30.9842977
"109",-87.6297982,41.8781136
"110",-122.0307963,36.9741171
"111",-95.712891,37.09024
"112",-81.264421,42.918807
"113",-76.6412712,39.0457549
"114",-96.6851982,40.8257625
"115",-97.6642087,38.3708415
"116",-97.586997,38.849122
"118",-74.0059728,40.7127753
"119",-73.6331102,45.6929818
"120",-81.0739825,33.9934867
"121",-78.9429329,43.8975446
"122",-84.5929898,35.4428512
"124",8.675277,9.081999
"125",-86.902298,32.3182314
"126",-119.4179324,36.778261
"127",-113.4909267,53.544389
"128",-76.6121893,39.2903848
"129",-112.0339645,43.4916514
"130",-73.7948516,40.7282239
"131",-119.4179324,36.778261
"132",-95.712891,37.09024
"133",-81.5215093,40.7967244
"134",-97.5164276,35.4675602
"135",-95.61609,36.3125963
"136",-83.7816075,42.1667072
"139",-87.6297982,41.8781136
"140",-87.6297982,41.8781136
"143",-81.2452768,42.9849233
"145",-74.4056612,40.0583238
"146",-94.1718542,36.082156
"147",-97.5052724,29.6657863
"148",-97.5164276,35.4675602
"150",-74.0059728,40.7127753
"151",-87.6297982,41.8781136
"154",-104.990251,39.7392358
"155",-119.4179324,36.778261
"156",-119.4179324,36.778261
"157",-81.5157535,27.6648274
"158",-85.323214,51.253775
"159",-82.2549962,27.8835042
"160",-93.2922989,37.2089572
"161",-99.9018131,31.9685988
"162",-95.7099399,37.2248982
"163",-117.1172557,32.9656893
"164",-124.0534505,44.6367836
"166",-73.087749,41.6032207
"167",-119.4179324,36.778261
"168",-84.2700179,37.8393332
"169",-111.0937311,39.3209801
"171",-83.0457538,42.331427
"172",-79.0192997,35.7595731
"173",-74.0059728,40.7127753
"174",-79.9958864,40.4406248
"176",-64.67768,10.1445691
"177",-90.1994042,38.6270025
"178",18.4240553,-33.9248685
"179",-71.2385776,42.3645867
"181",-77.0441143,35.108493
"183",-99.9018131,31.9685988
"185",-81.1637245,33.836081
"186",-95.712891,37.09024
"187",-106.346771,56.130366
"188",-83.9811014,34.1140497
"189",-84.3879824,33.7489954
"190",-85.6023643,44.3148443
"191",-96.9760096,37.2494946
"192",-79.0243665,43.2389412
"195",-119.4179324,36.778261
"197",-7.216667,13.683333
"198",-99.9018131,41.4925374
"199",-81.9064705,28.8613765
"201",-8.224454,39.399872
"202",-116.419389,34.9592083
"203",-95.712891,37.09024
"205",-77.0368707,38.9071923
"206",-93.3369053,44.8628329
"207",-99.9018131,31.9685988
"208",-97.092877,35.0077519
"209",-74.307282,40.4128551
"210",-73.919271,41.034187
"212",-84.3879824,33.7489954
"214",-88.4786605,35.6145156
"216",-78.2352872,41.5114521
"217",-88.5694182,47.1211331
"218",-89.4012302,43.0730517
"219",-81.5157535,27.6648274
"220",-86.8752869,40.4167022
"221",-74.0059728,40.7127753
"222",-74.4056612,40.0583238
"223",-93.6091064,41.6005448
"224",-118.0021917,33.6565712
"225",-88.5694182,47.1211331
"228",-74.0059728,40.7127753
"230",-73.9441579,40.6781784
"231",-97.7430608,30.267153
"232",-99.9018131,31.9685988
"233",-86.5263857,39.165325
"234",-86.902298,32.3182314
"235",-73.9441579,40.6781784
"236",-79.0558445,35.9131996
"237",-82.907123,40.4172871
"238",-83.6324022,32.8406946
"239",-75.1652215,39.9525839
"240",-89.3985283,40.6331249
"242",-78.6381787,35.7795897
"244",-77.4299939,43.2122851
"245",-106.346771,56.130366
"246",-95.9979883,41.2523634
"247",-96.562162,39.175378
"248",-99.9018131,31.9685988
"250",-79.3950228,36.5859718
"251",-104.990251,39.7392358
"252",-79.3831843,43.653226
"253",-99.9018131,31.9685988
"254",-95.712891,37.09024
"255",-98.4842465,39.011902
"256",-84.3879824,33.7489954
"257",-77.0368707,38.9071923
"258",-71.5723953,43.1938516
"259",-75.6971931,45.4215296
"260",-83.0818315,42.3748407
"261",-106.346771,56.130366
"262",-73.087749,41.6032207
"263",-87.6297982,41.8781136
"264",-82.907123,40.4172871
"266",-87.9064736,43.0389025
"267",-93.6091064,41.6005448
"268",-84.4957757,39.091449
"270",-77.4360481,37.5407246
"271",-95.712891,37.09024
"272",-104.6091409,38.2544472
"273",-81.7831674,32.4487876
"274",-99.9018131,31.9685988
"275",-79.3831843,43.653226
"276",-116.419389,34.9592083
"277",-95.971261,36.153315
"278",-82.907123,40.4172871
"279",-79.2508558,42.8865204
"282",-82.907123,40.4172871
"283",-104.990251,39.7392358
"284",-80.244216,36.0998596
"285",-75.1652215,39.9525839
"287",-95.712891,37.09024
"289",-77.0368707,38.9071923
"290",-83.0457538,42.331427
"293",-84.544109,38.9431183
"294",-82.3688078,40.7739051
"295",-87.6297982,41.8781136
