"","lon","lat"
"1",-0.1277583,51.5073509
"2",-74.0059728,40.7127753
"3",-119.4179324,36.778261
"4",-88.7878678,43.7844397
"5",-95.712891,37.09024
"6",-119.4179324,36.778261
"7",-95.712891,37.09024
"8",-95.712891,37.09024
"9",133.775136,-25.274398
"10",-73.7448437,40.5998931
"11",-71.0588801,42.3600825
"12",-42.604303,71.706936
"14",-84.3879824,33.7489954
"16",-80.8431267,35.2270869
"17",-84.3879824,33.7489954
"18",-122.2852473,37.831316
"19",-79.7624177,43.7315479
"20",-81.3792365,28.5383355
"21",-81.5157535,27.6648274
"23",-83.1497751,42.6064095
"24",-82.8001026,27.9658533
"27",-90.0489801,35.1495343
"28",-79.0192997,35.7595731
"29",-81.5157535,27.6648274
"31",-84.4277001,33.6407282
"32",-119.4179324,36.778261
"33",-74.0059728,40.7127753
"34",-81.1637245,33.836081
"35",-111.9738304,41.223
"36",72.8063965,21.1862381
"37",-76.581445,43.424166
"38",0.290472,50.768035
"39",-95.712891,37.09024
"40",-86.0224718,33.9245425
"41",-71.1097335,42.3736158
"42",-80.6495194,41.0997803
"43",-86.158068,39.768403
"44",-95.8313566,33.7539901
"47",-80.1917902,25.7616798
"48",-97.4394777,35.2225668
"49",-71.8022934,42.2625932
"50",-75.2176892,38.3226153
"51",-87.6341658,34.8288662
"53",-81.6943605,41.49932
"54",-119.4179324,36.778261
"55",77.2090212,28.6139391
"56",-79.9558968,39.629526
"57",-95.712891,37.09024
"58",-97.6385368,35.5587725
"59",-80.085059,42.1292241
"60",-83.8601827,33.5967815
"61",-99.9018131,31.9685988
"62",-95.712891,37.09024
"63",-106.346771,56.130366
"64",-89.3985283,40.6331249
"66",-73.9712488,40.7830603
"67",-102.4107493,34.2331373
"68",-104.990251,39.7392358
"69",-76.5018807,42.4439614
"73",-115.1745559,36.1023715
"74",-86.39027,35.8456213
"75",-76.5878328,39.2988333
"76",-111.0937311,34.0489281
"77",-4.659948,55.541332
"78",-87.9064736,43.0389025
"79",-86.158068,39.768403
"80",-99.9018131,31.9685988
"82",-66.4619164,46.5653163
"83",-95.3698028,29.7604267
"86",-82.9000751,32.1656221
"87",-92.2895948,34.7464809
"88",-77.4416505,37.3568157
"89",-79.3831843,43.653226
"91",5.6037465,6.334986
"92",-76.6412712,39.0457549
"93",-95.712891,37.09024
"94",-93.097702,41.8780025
"96",-84.2700179,37.8393332
"97",-86.39027,35.8456213
"98",-97.5087365,25.9434529
"99",-91.9623327,30.9842977
"100",-87.0738851,20.6295586
"101",-77.4105409,39.4142688
"102",36.8219462,-1.2920659
"103",-105.0813734,39.7047095
"104",33.4986523,39.8562859
"105",-116.173894,33.6803003
"106",-99.9018131,31.9685988
"107",-90.0715323,29.9510658
"108",-157.8583333,21.3069444
"110",-74.297333,4.570868
"112",-102.7106394,20.2960475
"113",2.213749,46.227638
"115",-119.4179324,36.778261
"116",-82.907123,40.4172871
"117",-119.6456844,36.3274502
"120",-90.0715323,29.9510658
"122",-84.3879824,33.7489954
"125",-84.3879824,33.7489954
"126",-90.0715323,29.9510658
"127",-81.8552196,41.143245
"128",95.6300233,27.3951473
"132",-85.3063504,37.102841
"133",-99.9018131,31.9685988
"134",-76.6412712,39.0457549
"135",-99.9018131,31.9685988
"136",-74.0059728,40.7127753
"137",-83.9207392,35.9606384
"138",-101.0020119,47.5514926
"141",-116.419389,34.9592083
"142",-105.937799,35.6869752
"145",-78.458708,38.253749
"146",-119.4179324,36.778261
"147",-82.9286428,42.6651965
"148",-80.8431267,35.2270869
"149",78.96288,20.593684
"150",-117.1610838,32.715738
"152",-73.019343,40.7659783
"153",-87.6297982,41.8781136
"154",146.921099,-31.2532183
"155",-84.3879824,33.7489954
"157",-85.6680863,42.9633599
"158",-93.2650108,44.977753
"160",-79.0753624,43.0920415
"161",-19.020835,64.963051
"162",138.5713281,-35.0244952
"163",-87.6297982,41.8781136
"164",78.478036,17.4653875
"165",128.8042831,35.9296548
"166",-81.3031179,29.028318
"167",-74.0059728,40.7127753
"168",-105.8700901,34.5199402
"169",-87.6297982,41.8781136
"170",25.7481511,61.92411
"171",-95.712891,37.09024
"172",-83.3677168,42.4989936
"173",-74.0059728,40.7127753
"175",-74.0326395,40.9912087
"176",-82.3313955,28.8354507
"177",-95.6426972,37.0341261
"178",-96.6388833,32.912624
"179",-79.3831843,43.653226
"180",-74.0059728,40.7127753
"181",-106.346771,56.130366
"182",18.643501,60.128161
"183",-91.8318334,37.9642529
"184",-84.3879824,33.7489954
"185",151.0518215,-33.77967
"186",-80.1358037,25.7747788
"187",-79.0192997,35.7595731
"188",-79.7990319,43.3255196
"190",68.5247149,25.8943018
"192",-91.8318334,37.9642529
"193",-90.3712395,40.9478158
"195",101.090109,4.5921126
"197",-95.712891,37.09024
"198",-81.8490739,26.5377673
"199",-81.0998342,32.0835407
"200",-86.7028119,36.1635882
"201",-80.3972736,27.6386434
"202",-119.4179324,36.778261
"203",-86.0008078,34.3514798
"204",-106.346771,56.130366
"205",-76.5319854,3.4516467
"206",-112.29828,40.5307776
"207",-73.9441579,40.6781784
"208",-119.4179324,36.778261
"210",-74.4056612,40.0583238
"211",-89.6662063,37.3822732
"213",-99.9018131,31.9685988
"214",-95.971261,36.153315
"215",-90.704279,35.8422967
"216",-84.5120196,39.1031182
"217",-82.9987942,39.9611755
"218",-86.5804473,35.5174913
"219",-90.0348139,34.9553719
"220",-96.0979879,36.1365376
"221",-87.6297982,41.8781136
"222",-81.5157535,27.6648274
"224",-117.9143012,33.8365932
"225",-76.2858726,36.8507689
"226",-97.1383744,49.895136
"227",133.775136,-25.274398
"228",-73.087749,41.6032207
"229",-74.4056612,40.0583238
"230",-90.0708602,29.9547187
"231",-106.346771,56.130366
"232",-121.2722194,38.1341477
"233",-82.4571776,27.950575
"234",-95.712891,37.09024
"235",32.5825197,0.3475964
"236",36.8219462,-1.2920659
"237",-120.5542012,43.8041334
"238",-116.419389,38.8026097
"239",-80.1373174,26.1224386
"240",-97.3090028,37.6845131
"241",-86.3977735,39.8433769
"242",-119.4179324,36.778261
"243",-84.4277001,33.6407282
"244",-95.712891,37.09024
"245",-76.6877186,45.4749199
"246",-119.4179324,36.778261
"247",151.2092955,-33.8688197
"248",-84.7582743,35.2872952
"249",-79.9310512,32.7764749
"251",-97.092877,35.0077519
"253",-94.68748,38.9250212
"255",-77.4360481,37.5407246
"256",-99.9018131,31.9685988
"258",-75.977985,36.8529263
"260",-98.4842465,39.011902
"262",-95.712891,37.09024
"263",43.356892,42.315407
"264",-73.087749,41.6032207
"265",-71.0588801,42.3600825
"266",-95.712891,37.09024
"267",-120.7401385,47.7510741
"269",-80.7419984,28.3861159
"270",-95.712891,37.09024
"271",-74.4056612,40.0583238
"272",-74.0059728,40.7127753
"273",-87.5691735,33.2098407
"274",-82.9000751,32.1656221
"275",-75.1652215,39.9525839
"276",-84.2807329,30.4382559
"277",-86.0794285,35.2098048
"278",-80.0599158,26.4555173
"279",-0.1277583,51.5073509
"281",-89.3985283,40.6331249
"282",-120.5542012,43.8041334
"283",-91.8318334,37.9642529
"284",-99.0931317,35.0295009
"286",-92.4421011,35.0886963
"287",-119.4179324,36.778261
"288",-74.0059728,40.7127753
"289",-84.3879824,33.7489954
"291",-89.3985283,32.3546679
"292",-94.6858998,46.729553
"294",-119.4179324,36.778261
"295",-95.236116,38.971385
"296",-89.4012302,43.0730517
"298",-99.9018131,31.9685988
"299",-83.357567,33.9519347
"300",-84.3879824,33.7489954
"302",-119.4179324,36.778261
"303",-83.3527097,42.36837
"304",-88.0853154,38.7308811
"305",-79.9958864,40.4406248
"306",-75.1652215,39.9525839
"307",-77.0368707,38.9071923
"308",-71.0588801,42.3600825
"309",-78.1558062,42.4268184
"310",-121.4883438,38.5796566
"311",-82.7523234,27.7886375
"312",-75.1652215,39.9525839
"313",-88.4153847,44.2619309
"314",-87.9064736,43.0389025
"315",-72.9867718,41.6023196
"316",-106.346771,56.130366
"317",-78.458708,38.253749
"318",-99.9018131,31.9685988
"319",-95.712891,37.09024
"320",-81.0856532,40.5728403
"321",-80.4831917,43.450301
