"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2191","Bad attitude, but I’m thick tho. Let a nigga know from the get go. Diamonds blue, got the flu, I ain’t sick tho.",FALSE,0,NA,2018-03-07 19:27:21,FALSE,NA,"971467356357701632",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","all_thatJas",0,FALSE,FALSE,NA,NA
"2192","Lord please do not let me have the flu <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>",FALSE,0,NA,2018-03-07 19:27:10,FALSE,NA,"971467309540835328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_hairaz",0,FALSE,FALSE,NA,NA
"2193","@TFS_Punisher @Deity7 Hey Deity. Been through the flu last couple of werks myself. Chin up m’dude. It’ll be over so… https://t.co/c2pup4z9Zq",FALSE,5,"TFS_Punisher",2018-03-07 19:27:03,TRUE,"971462692891516928","971467282860924928","620125362","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SgtDangerCow",0,FALSE,FALSE,NA,NA
"2194","hello ive had a cold+stomach flu for five days now https://t.co/5NrAEYuJpH",FALSE,25,NA,2018-03-07 19:26:48,FALSE,NA,"971467217350078465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bigIizard",1,FALSE,FALSE,NA,NA
"2195","RT @WebMD: Want to give your immune system a boost? Garlic, sweet potato, and broccoli are all promising picks. https://t.co/ACFuIiz9e1 htt…",FALSE,0,NA,2018-03-07 19:26:03,FALSE,NA,"971467031659892736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FirstCCareCol",251,TRUE,FALSE,NA,NA
"2196","RT @kibblesmith: I already had the flu/cold this season and then I flew on an airplane and one of you monsters infected me with some OTHER…",FALSE,0,NA,2018-03-07 19:25:49,FALSE,NA,"971466970850881536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DuffWatson",3,TRUE,FALSE,NA,NA
"2197","RT @PWChronicles: Sorry this is a bit late. I ended up getting the flu right after the con and just now was able to upload these :)",FALSE,0,NA,2018-03-07 19:25:20,FALSE,NA,"971466851313160192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","showonay",1,TRUE,FALSE,NA,NA
"2198","How could increasing your Vitamin C help? Find out: https://t.co/xeyxl6J1gq #LiveBetter #HealthyLiving",FALSE,0,NA,2018-03-07 19:25:03,FALSE,NA,"971466776717426691",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","MedSense_MSGA",0,FALSE,FALSE,NA,NA
"2199","I know bats sleep hanging 
upside-down..... 
so if they have the flu and
get the shits in their sleep,
do they have… https://t.co/nMVwYNe5G2",FALSE,2,NA,2018-03-07 19:24:41,TRUE,NA,"971466685596258308",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JonnyKooler",1,FALSE,FALSE,NA,NA
"2200","Flu meds taste like sweaty balls",FALSE,0,NA,2018-03-07 19:24:39,FALSE,NA,"971466676570124288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","__Bontle",0,FALSE,FALSE,NA,NA
